,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
2754,81.01925,63.118214,80.0,77.0,0.47887573,3.6385393,0.0408854,3.4374633,57.0,132.0,0.11039688,71.0,76.0,85.0,91.0,20.0,0
5410,109.931885,434.2405,110.0,112.0,0.058852285,2.7057962,0.014482992,4.410803,52.0,196.0,0.09540533,82.0,94.0,124.0,136.0,54.0,1
357,130.52788,605.26135,134.0,143.0,-0.9102993,3.6542072,0.013716846,4.508013,30.0,207.0,0.08868478,93.0,118.0,148.0,157.0,64.0,1
2858,36.341915,234.87431,34.0,19.0,0.7676695,2.957143,0.031187456,3.8295712,13.0,92.0,0.16044703,19.0,24.0,46.0,59.0,40.0,0
217,187.83253,741.66345,193.0,198.0,-0.87086946,3.8670156,0.013897463,4.506797,78.0,255.0,0.07396186,148.0,174.0,206.0,215.0,67.0,1
2979,128.58585,503.06528,127.0,114.0,0.09870706,2.3888838,0.013312477,4.468709,72.0,208.0,0.08764128,100.0,111.0,145.0,158.0,58.0,0
5239,86.21546,3373.131,103.0,17.0,-0.03317039,1.3318202,0.033296734,4.4991207,15.0,206.0,0.11771545,17.0,20.0,138.0,158.0,141.0,0
434,141.57895,764.7438,144.0,114.0,-0.3168483,2.421495,0.010599947,4.6733108,62.0,236.0,0.08475836,102.0,121.0,162.0,176.0,74.0,1
3007,60.279392,654.8521,67.0,77.0,-0.26405326,1.9024495,0.01360954,4.4667597,6.0,148.0,0.13579023,22.0,38.0,80.0,90.0,68.0,0
758,115.73898,322.03314,112.0,112.0,0.6480506,3.1455398,0.018319128,4.194048,75.0,218.0,0.091438554,95.0,102.0,127.0,140.0,45.0,0
2080,130.08458,440.8093,127.0,114.0,0.2980078,2.5679767,0.014677404,4.3920054,76.0,194.0,0.086631544,104.0,114.0,144.0,159.0,55.0,0
3369,138.08813,475.71835,138.0,114.0,-0.12110606,2.3700578,0.013284262,4.4482594,74.0,195.0,0.08507132,109.0,121.0,154.0,166.0,57.0,1
1372,94.19205,236.05824,92.0,90.0,0.25458637,3.5448594,0.021411905,4.0981183,33.0,173.0,0.10183092,77.0,84.0,103.0,114.0,37.0,0
4110,131.55006,634.1255,131.0,114.0,-0.35661972,3.498033,0.012396583,4.592899,23.0,210.0,0.08700507,101.0,115.0,149.0,162.0,61.0,0
3736,126.41846,2182.9548,143.0,157.0,-0.87862855,2.6910498,0.008489694,4.9939203,3.0,206.0,0.09459268,48.0,95.0,161.0,174.0,126.0,1
1009,92.69522,217.93774,90.0,90.0,0.5219653,3.0612798,0.021365253,4.042068,55.0,155.0,0.102344364,75.0,81.0,102.0,112.0,37.0,1
812,164.37181,369.306,162.0,156.0,0.27968988,2.631498,0.015571803,4.307356,115.0,227.0,0.07743373,140.0,150.0,176.0,192.0,52.0,1
1881,162.55505,453.90167,165.0,172.0,-1.0971242,4.61887,0.01599053,4.3549237,56.0,226.0,0.07902081,133.0,151.0,177.0,185.0,52.0,1
1684,102.84312,189.13281,100.0,90.0,0.9775014,4.151269,0.0256317,3.9004593,71.0,172.0,0.097235486,88.0,92.0,110.0,121.0,33.0,0
971,181.4078,658.0006,189.0,200.0,-0.94759774,2.9702513,0.015546551,4.4129934,88.0,224.0,0.07578354,141.0,164.0,200.0,207.0,66.0,0
787,76.082886,436.16754,76.0,67.0,-0.022229547,3.7015464,0.016231222,4.3849,14.0,157.0,0.1145829,48.0,64.0,89.0,100.0,52.0,0
4590,183.68713,326.2562,186.0,185.0,-1.6184118,6.187687,0.021954333,4.061984,97.0,214.0,0.0742468,160.0,176.0,195.0,202.0,42.0,0
305,141.01816,207.29985,139.0,134.0,0.08932057,2.6139493,0.020162439,4.045585,97.0,207.0,0.08360503,122.0,130.0,151.0,159.0,37.0,1
3867,61.554493,1981.4585,51.0,11.0,0.6020907,2.2551994,0.01927643,4.662732,10.0,196.0,0.11601799,11.0,20.0,94.0,126.0,115.0,0
4435,104.74522,194.78224,103.0,112.0,0.4251523,3.0578253,0.022152906,3.9950082,67.0,164.0,0.09689122,88.0,94.0,114.0,123.0,35.0,0
3735,113.990135,400.94885,112.0,112.0,0.4548385,2.9409864,0.015844868,4.343668,63.0,184.0,0.09284142,90.0,99.0,126.0,141.0,51.0,0
3159,158.92915,212.52313,159.0,160.0,-0.60965925,3.8357413,0.02135918,4.0453167,86.0,218.0,0.07934052,140.0,150.0,168.0,176.0,36.0,0
2208,72.500305,938.7427,75.0,38.0,0.14660874,2.1675668,0.011070617,4.6891007,13.0,171.0,0.11945128,33.0,43.0,95.0,112.0,79.0,0
3684,74.455795,659.14325,78.0,90.0,-0.32826003,2.148496,0.012101517,4.5482364,16.0,138.0,0.118617505,36.0,54.0,94.0,106.0,70.0,0
