,0,1,2,3,4,5,6,Label
155,2.8951976,10.216938,12.269725,12.369043,24.891203,17.485071,-24.796852,0
156,2.9346333,10.139136,12.644793,13.335879,-26.334723,-18.507586,-27.033943,1
157,1.8160572,5.0636444,6.7715197,6.151302,-13.804044,8.740876,-12.613614,0
158,2.555972,7.3945203,9.320945,9.203844,-18.873259,-12.901937,18.50241,0
159,2.9265018,8.992156,13.227663,13.382902,26.690474,-18.672607,27.677818,0
160,2.8202636,8.822639,11.581791,11.187433,-22.587593,-15.719508,-23.152313,0
161,3.0011191,9.429625,13.51614,13.790115,-28.9423,18.711233,27.44346,1
162,2.6923642,6.2040644,9.367407,9.623451,-19.458727,-12.782835,-19.169813,1
163,2.8744776,7.7685027,10.905565,11.1930685,22.2461,16.33811,23.127687,0
164,2.9479854,8.61031,12.760952,11.818285,24.123648,16.692833,24.685534,1
165,2.9535,9.164539,12.069637,12.68509,25.764841,17.686079,-25.071177,1
166,2.62623,6.660509,9.171534,9.2732525,19.26527,-12.605674,18.502012,0
167,2.7958508,8.162553,12.180943,13.186208,25.994493,17.289772,26.049587,1
168,2.8113759,9.236261,12.705139,11.369907,23.840164,16.375702,23.439253,0
169,1.7251729,4.5907445,9.665096,5.791355,13.867685,8.086751,13.568382,0
170,2.5684524,6.8768516,9.02965,9.007578,18.645412,-12.483228,-18.039108,0
171,2.8723361,8.790233,12.495336,11.951881,24.423807,-17.25281,-24.258818,0
172,2.7549922,9.07549,11.45095,11.076061,-22.511274,-15.653772,-22.470774,0
173,2.8052995,8.98273,11.290684,11.866093,-23.451958,-16.532042,24.179693,0
174,2.8325963,8.578143,11.2202835,11.714301,23.204376,17.453178,23.682463,0
175,2.8452137,9.778841,12.03743,11.882407,-24.452257,-16.794613,23.855825,0
176,2.8862674,8.689606,11.059202,11.111983,22.221659,-15.57088,-22.68703,0
177,2.9885826,8.497833,11.253152,11.744728,-23.575974,-16.03832,23.29664,0
178,2.6410472,7.167202,10.170458,10.119464,20.338562,-14.333877,-20.5338,1
179,2.9790223,9.267326,12.109748,12.824048,25.296225,18.014917,-26.100723,1
180,2.765833,7.6688666,10.4046135,11.183603,-21.990967,-15.120104,-22.591505,0
181,2.124993,6.01413,7.530057,7.250778,-15.371719,10.457351,-14.64884,0
182,2.8644562,8.88207,10.902433,10.8538065,22.350916,15.433929,21.744858,0
183,2.818744,8.5641985,11.544662,12.531302,25.63992,16.816137,-24.57086,0
184,2.6967347,8.574152,10.73378,10.219006,21.653551,14.841794,-20.698048,0
