,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
5106,5646.963,73.94684,25.914328,323.03992,42.655346,143.82678,1
2487,7236.437,66.20584,22.371714,314.0594,36.987335,128.86797,0
5769,4468.6157,68.8289,25.516718,276.7863,41.0405,137.15611,0
535,2984.9922,73.63515,26.73715,303.59595,42.865307,143.8168,1
2110,5107.4365,26.6335,10.622085,108.731514,16.361319,52.39116,0
458,5502.002,74.20519,20.995625,391.19232,37.27324,143.47784,1
724,8758.069,81.31165,25.095896,421.78314,42.199448,153.67389,1
2247,5206.967,55.243374,20.92801,224.00186,32.98322,110.31622,0
1555,8243.849,51.563053,22.06713,200.0823,33.04042,104.68723,0
1599,7275.5415,67.81468,21.090744,328.26974,36.21387,132.18443,1
948,5951.379,59.13771,21.860477,266.7398,34.74117,116.01178,1
5372,5442.622,48.929188,17.839651,240.97139,28.446661,98.98747,0
3599,10297.53,56.86545,19.921719,298.02664,32.3566,116.14681,0
4261,15400.486,75.39332,20.981451,440.27652,36.841244,137.57205,1
2425,7861.1616,48.972946,15.270685,248.78412,25.702017,94.58343,0
4839,3525.5476,69.6776,23.692837,322.35162,38.64224,135.61766,0
290,12944.246,62.064285,19.888315,335.0129,32.900806,116.761856,1
4714,2418.8877,50.693676,16.531439,232.8822,27.79424,101.51515,0
1790,2907.5654,60.567963,21.350855,269.2048,34.63199,118.924324,0
3896,6582.5825,56.97747,16.815235,326.60364,29.062014,108.38404,1
1732,6759.9214,37.489048,12.931673,168.24512,21.264465,76.39219,0
712,9937.401,63.93065,22.191902,319.73044,36.26319,128.28207,1
1375,5402.3037,49.584904,15.637172,252.43076,26.584812,97.40591,1
2235,6743.3965,57.12622,18.80117,301.92422,30.825191,109.0698,1
5649,4879.6694,70.085205,24.738806,296.60422,40.557262,138.90096,0
1890,4923.307,34.67828,14.268313,136.42833,21.77046,69.75378,0
5735,5995.5967,63.36444,22.91834,265.9357,37.0054,128.85983,0
4728,3473.6504,51.252987,17.797949,242.22516,28.886312,99.465675,0
4922,2461.7578,60.48131,20.702698,259.01755,34.568577,122.56312,0
1802,5460.0366,56.28516,18.937315,285.59964,30.904192,106.92449,0
5858,3744.4038,53.39466,19.227299,239.80008,31.039907,108.12797,0
4110,2063.7856,39.61885,15.14636,142.8868,24.135683,79.47051,0
5616,3519.5037,31.1805,13.64437,102.3576,20.448702,58.17489,0
271,3359.4253,56.398235,18.267036,269.90994,30.811111,111.77541,1
3889,2453.6106,52.312756,18.698679,214.65878,30.519714,103.79314,0
1696,6202.5786,49.56094,15.798673,244.76408,26.432344,93.9448,0
2182,6724.01,37.084995,15.856976,146.42317,23.71213,73.55545,0
4710,1566.985,58.494953,22.173586,219.11256,35.267216,115.94805,0
4965,8721.067,65.41032,22.143314,290.9368,36.598213,129.1485,0
2763,5089.0776,56.296192,19.203094,256.8682,31.850462,111.07152,0
170,7223.902,69.12437,20.63854,362.8732,35.850883,136.98164,1
2081,12688.204,50.50497,18.435482,249.17035,29.571024,100.69846,0
5696,18044.865,46.25463,17.422024,218.99478,27.473557,88.80705,0
5047,13644.207,40.39586,15.795055,192.72643,24.265753,79.70738,1
1618,2942.6348,55.337082,19.380714,231.1541,31.658424,110.64311,0
975,9733.338,41.812565,15.037263,220.40776,23.818352,81.248695,0
5787,5415.821,68.775185,24.334084,318.93515,39.024387,131.8005,0
5712,4255.122,60.04453,21.680119,278.82724,34.662186,115.533066,0
2527,3813.8406,60.028835,16.070581,312.09103,29.432655,113.29945,1
1698,4545.207,53.515156,18.954535,243.34258,30.564442,104.92053,0
4757,2688.6963,56.738792,18.517048,248.78989,30.945887,107.41635,0
3622,3161.905,46.32976,16.916983,209.4767,27.075636,94.4836,0
4137,276.34625,29.98491,14.682286,87.2681,20.970242,60.62694,0
4864,1941.7572,55.875698,21.346786,216.51775,33.84721,114.74193,0
2536,4397.6724,49.359028,23.382647,151.66359,33.87518,98.91444,0
5501,4778.5664,84.59699,30.400024,385.42514,48.873596,167.82549,1
6027,12471.066,51.969658,16.802948,248.40178,28.684097,104.97307,0
3367,12179.433,59.11148,18.919231,325.06284,31.294165,115.99663,0
151,5034.084,108.05228,31.863163,536.7617,54.644447,202.27544,1
4823,4148.422,68.04018,23.50921,316.05612,38.739975,160.49815,0
6067,4001.2073,38.215073,16.945234,126.9748,25.064629,75.86477,0
3858,6598.5273,65.27426,22.368216,321.68732,36.376286,126.71261,1
5506,4440.88,43.25425,17.43586,177.82574,26.811722,89.49607,0
5814,12936.231,168.7674,32.361565,947.27325,61.64493,210.94545,0
2597,3928.5586,67.04807,23.602268,291.57187,38.520554,137.76707,0
5390,12981.969,54.75451,20.656382,242.22917,32.629677,105.593346,0
3109,3921.2307,35.9818,11.632104,175.25775,19.37018,69.918,0
1412,10865.321,53.355244,17.867504,261.1356,29.29129,104.685196,0
